id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
75,Fuel Supply,2014,2/6/2014,2/6/2014,California ISO,California,WECC,"fuel supply emergency, natural gas",13:00:00,22:00:00,,4000.0
76,Public Appeal,2014,2/6/2014,2/6/2014,American Electric Power,Texas,TRE,public appeal,13:58:00,20:40:00,,
77,Fuel Supply,2014,2/6/2014,2/6/2014,Southern California Edison,California,WECC,"fuel supply emergency, natural gas",14:15:00,19:39:00,,611.0
78,Fuel Supply,2014,2/6/2014,2/6/2014,Pacific Gas & Electric Co,California,WECC,"fuel supply emergency, natural gas",13:05:00,19:15:00,,160.0
79,Public Appeal,2014,2/6/2014,2/7/2014,ERCOT,Texas,TRE,public appeal,15:35:00,11:30:00,,
80,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,"severe weather, winter storm",01:00:00,20:40:00,144000.0,
81,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Potomac Edison,West Virginia,RFC,"severe weather, winter storm",00:00:00,18:00:00,101580.0,
82,Severe Weather,2014,2/5/2014,2/5/2014,Baltimore Gas & Electric Company,Maryland,RFC,"severe weather, winter storm",08:05:00,08:06:00,181000.0,800.0
83,Fuel Supply,2014,2/5/2014,2/23/2014,Upstate New York Power Producers,New York,NPCC,"fuel supply emergency, coal",07:00:00,07:00:00,,300.0
84,Severe Weather,2014,2/5/2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,RFC,"severe weather, winter storm",05:00:00,05:01:00,715000.0,
85,Severe Weather,2014,2/5/2014,2/7/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,"severe weather, winter storm",07:35:00,04:03:00,62159.0,
86,Physical Attack,2014,1/30/2014,Unknown,Tucson Electric Power,Arizona,WECC,"vandalism, physical",15:00:00,,,
87,Physical Attack,2014,1/29/2014,1/29/2014,Madison Gas and Electric,Unknown,MRO,"vandalism, physical",16:00:00,16:44:00,,
88,Severe Weather,2014,1/27/2014,1/28/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",14:20:00,21:00:00,,
89,Physical Attack,2014,1/26/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",23:00:00,,,
90,Physical Attack,2014,1/26/2014,1/27/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",21:00:00,11:00:00,,
91,Physical Attack,2014,1/25/2014,1/25/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",10:00:00,11:00:00,,
92,Physical Attack,2014,1/24/2014,1/24/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",15:30:00,17:00:00,,
93,Fuel Supply,2014,1/24/2014,4/9/2014,We Energies,Wisconsin,RFC,"fuel supply emergency, coal",00:00:00,11:53:00,,
94,Physical Attack,2014,1/23/2014,1/24/2014,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",21:17:00,17:00:00,,
95,Severe Weather,2014,1/23/2014,1/24/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, cold",16:00:00,12:00:00,,
96,Severe Weather,2014,1/23/2014,1/24/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, cold",04:00:00,12:00:00,,
97,Severe Weather,2014,1/23/2014,1/24/2014,PJM Interconnection,Maryland,RFC,"severe weather, cold",13:04:00,09:00:00,,
98,Physical Attack,2014,1/22/2014,1/22/2014,Duke Energy Midwest,Ohio,RFC,"vandalism, physical",09:45:00,20:19:00,,
99,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",13:55:00,14:55:00,,
100,Physical Attack,2014,1/22/2014,1/23/2014,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",21:15:00,03:08:00,,
101,Physical Attack,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,"vandalism, physical",00:30:00,02:45:00,,
102,Physical Attack,2014,1/21/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,"vandalism, physical",17:00:00,,,
103,Physical Attack,2014,1/21/2014,1/21/2014,Ameren Missouri,Missouri,SERC,"vandalism, physical",12:14:00,12:39:00,,10.0
104,Electrical System Separation,2014,1/18/2014,Unknown,First Energy Solutions Corp.,Unknown,RFC,islanding,17:39:00,,,
105,Public Appeal,2014,1/18/2014,1/18/2014,ERCOT,Texas,TRE,public appeal,09:00:00,09:45:00,,
106,Physical Attack,2014,1/17/2014,1/17/2014,Dayton Power & Light Co,Ohio,RFC,"vandalism, physical",12:20:00,12:20:00,,
107,Physical Attack,2014,1/16/2014,1/16/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",12:30:00,13:57:00,,
108,Physical Attack,2014,1/15/2014,1/15/2014,PacifiCorp,Utah,WECC,"vandalism, physical",14:32:00,14:45:00,,
109,Physical Attack,2014,1/13/2014,1/13/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",16:44:00,16:45:00,,
110,Severe Weather,2014,1/8/2014,1/8/2014,South Carolina Electric and Gas,North Carolina,SERC,"severe weather, cold",06:00:00,09:00:00,677858.0,4545.0
111,Severe Weather,2014,1/8/2014,1/8/2014,American Electric Power,Unknown,RFC,"severe weather, cold",05:00:00,06:30:00,,576.0
112,Severe Weather,2014,1/7/2014,1/7/2014,South Carolina Electric and Gas,North Carolina,SERC,"severe weather, cold",18:00:00,23:00:00,677858.0,4853.0
113,Severe Weather,2014,1/7/2014,1/8/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, cold",16:15:00,13:20:00,,
114,Severe Weather,2014,1/7/2014,1/7/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, cold, public appeal",07:58:00,11:00:00,,14435.0
115,Severe Weather,2014,1/7/2014,1/8/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, cold",09:30:00,09:30:00,,
116,Fuel Supply,2014,1/7/2014,1/9/2014,"Prairie Power, Inc.",Illinois,RFC,"fuel supply emergency, natural gas",10:59:00,09:00:00,,
117,Severe Weather,2014,1/7/2014,1/8/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",21:00:00,09:00:00,,
118,Severe Weather,2014,1/7/2014,1/7/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, cold",06:00:00,08:30:00,,
119,Severe Weather,2014,1/7/2014,1/7/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, cold",06:00:00,08:30:00,,
120,Severe Weather,2014,1/7/2014,1/7/2014,PJM Interconnection,Pennsylvania,RFC,"severe weather, cold",06:18:00,06:19:00,,
121,Severe Weather,2014,1/6/2014,1/6/2014,Louisville Gas & Electric Co,Kentucky,RFC,"severe weather, cold",22:00:00,22:01:00,,
122,Severe Weather,2014,1/6/2014,1/7/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",20:45:00,21:00:00,,
123,Severe Weather,2014,1/6/2014,1/6/2014,"UGI Utilities, Inc",Pennsylvania,RFC,"severe weather, cold",19:50:00,20:49:00,62000.0,200.0
124,Severe Weather,2014,1/6/2014,1/6/2014,Delmarva Power & Light Company,Delaware,RFC,"severe weather, cold",19:52:00,20:45:00,,
125,Severe Weather,2014,1/6/2014,1/6/2014,Potomac Electric Power Co,District of Columbia,RFC,"severe weather, cold",19:50:00,20:44:00,,
126,Severe Weather,2014,1/6/2014,1/6/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",19:50:00,20:44:00,,
127,Severe Weather,2014,1/6/2014,1/6/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,"severe weather, cold",19:50:00,20:44:00,,
128,Vandalism,2014,1/6/2014,1/6/2014,PacifiCorp,Utah,RFC,vandalism,14:37:00,14:38:00,,
129,Severe Weather,2014,1/6/2014,1/7/2014,ERCOT,Texas,TRE,"severe weather, cold",07:01:00,09:00:00,,
130,Physical Attack,2013,12/30/2013,12/30/2013,PacifiCorp,Utah,WECC,"vandalism, physical",11:00:00,11:01:00,,
131,Physical Attack,2013,12/30/2013,1/1/2014,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",11:00:00,08:00:00,,
132,Physical Attack,2013,12/27/2013,12/27/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",09:43:00,12:43:00,,
133,Severe Weather,2013,12/23/2013,12/25/2013,Central Maine Power Co,Maine,NPCC,"severe weather, winter storm",15:20:00,11:32:00,52500.0,
134,Severe Weather,2013,12/22/2013,12/24/2013,Niagara Mohawk Power Corp.,New York,NPCC,"severe weather, winter storm",06:16:00,23:59:00,59000.0,
135,Severe Weather,2013,12/22/2013,12/28/2013,Consumers Energy Co,Michigan,RFC,"severe weather, winter storm",03:28:00,23:45:00,50000.0,
136,Severe Weather,2013,12/22/2013,12/25/2013,Detroit Edison Co,Michigan,RFC,"severe weather, winter storm",06:30:00,05:12:00,140735.0,350.0
137,Fuel Supply,2013,12/13/2013,12/27/2013,City of Garland,Texas,TRE,"fuel supply emergency, coal",11:00:00,11:00:00,,
138,Fuel Supply,2013,12/13/2013,12/27/2013,Texas Municipal Power Agency,Texas,TRE,"fuel supply emergency, coal",11:00:00,11:00:00,,
139,Physical Attack,2013,12/10/2013,12/11/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",01:01:00,01:01:00,,
140,Severe Weather,2013,12/9/2013,12/9/2013,Dominion Virginia Power,Virginia,SERC,"severe weather, winter storm",06:54:00,14:22:00,88000.0,293.0
141,Severe Weather,2013,12/6/2013,12/11/2013,Oncor Electric Delivery Company LLC,Texas,TRE,"severe weather, winter storm",01:51:00,12:00:00,881000.0,
142,Physical Attack,2013,12/6/2013,12/6/2013,PacifiCorp,Utah,WECC,"vandalism, physical",08:47:00,08:49:00,,
143,Firm Load,2013,12/4/2013,12/4/2013,WECC - Loveland,Utah,WECC,load shedding,05:00:00,16:17:00,,150.0
144,Physical Attack,2013,11/24/2013,11/24/2013,Pacific Gas & Electric Co,Utah,WECC,"vandalism, physical",07:38:00,07:39:00,,
145,Severe Weather,2013,11/21/2013,11/22/2013,Pacific Gas & Electric Co,California,WECC,"severe weather, wind",19:45:00,03:20:00,89500.0,150.0
146,Physical Attack,2013,11/20/2013,11/20/2013,Pacific Gas & Electric Co,Utah,WECC,"vandalism, physical",03:08:00,03:09:00,,
147,Severe Weather,2013,11/17/2013,11/17/2013,Commonwealth Edison Co,Illinois,RFC,"severe weather, thunderstorm",14:31:00,22:30:00,190000.0,
148,Severe Weather,2013,11/17/2013,11/20/2013,Detroit Edison Co,Michigan,RFC,"severe weather, winter storm",07:00:00,18:54:00,325325.0,
149,Severe Weather,2013,11/17/2013,11/18/2013,American Electric Power,Indiana,RFC,"severe weather, thunderstorm",16:19:00,18:00:00,77346.0,
150,Severe Weather,2013,11/17/2013,11/20/2013,Duke Energy Midwest,Indiana,RFC,"severe weather, thunderstorm",16:47:00,16:47:00,61705.0,
151,Severe Weather,2013,11/17/2013,11/21/2013,Consumers Energy Co,Michigan,RFC,"severe weather, thunderstorm",16:45:00,16:45:00,50000.0,
152,Voltage Reduction,2013,11/17/2013,11/17/2013,City of Rochelle,Indiana,RFC,voltage reduction,12:35:00,13:40:00,7500.0,38.0
153,Severe Weather,2013,11/17/2013,11/20/2013,Northern Indiana Public Service Company,Indiana,RFC,"severe weather, thunderstorm",13:06:00,13:06:00,75065.0,
154,Severe Weather,2013,11/17/2013,11/20/2013,Duke Energy Indiana Inc,Indiana,RFC,"severe weather, tornado",16:47:00,11:59:00,61705.0,535.0
155,Severe Weather,2013,11/17/2013,11/20/2013,Ameren Missouri,Illinois,SERC,"severe weather, tornado",12:35:00,11:00:00,200000.0,
156,Physical Attack,2013,11/16/2013,11/16/2013,PacifiCorp,Utah,WECC,"vandalism, physical",15:15:00,15:16:00,,
157,Electrical System Separation,2013,11/12/2013,11/12/2013,Pacific Gas & Electric Co,California,WECC,islanding,14:04:00,14:05:00,48400.0,55.0
158,Major Distribution Disruption,2013,11/12/2013,11/12/2013,"Farmers' Electric Coop, Inc",New Mexico,SPP,fuel supply emergency,09:14:00,10:30:00,,
159,Physical Attack,2013,11/5/2013,11/7/2013,Duke Energy Indiana Inc,Indiana,RFC,"vandalism, physical",10:10:00,10:10:00,,
160,Physical Attack,2013,11/4/2013,11/4/2013,ISO New England,Connecticut,NPCC,"vandalism, physical",09:04:00,09:05:00,,
161,Physical Attack,2013,11/2/2013,11/2/2013,PacifiCorp,Utah,WECC,"vandalism, physical",08:25:00,08:26:00,,
162,Severe Weather,2013,11/2/2013,11/4/2013,Puget Sound Energy,Washington,WECC,"severe weather, wind",00:00:00,06:00:00,105000.0,
163,Physical Attack,2013,11/1/2013,11/1/2013,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",13:26:00,13:27:00,,
164,Severe Weather,2013,10/27/2013,10/27/2013,CenterPoint Energy,Texas,TRE,"severe weather, hail",04:27:00,22:27:00,171117.0,
165,Physical Attack,2013,10/26/2013,10/26/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",07:13:00,07:14:00,,
166,Electrical System Separation,2013,10/21/2013,10/21/2013,Pacific Gas & Electric Co,Unknown,WECC,islanding,05:18:00,05:33:00,433.0,115.0
167,Physical Attack,2013,10/19/2013,10/19/2013,Pacific Gas & Electric Co,California,WECC,"vandalism, physical",14:32:00,22:00:00,,
168,Cyber Attack,2013,10/16/2013,10/16/2013,Duke Energy Progress,North Carolina,SERC,"vandalism, cyber",11:15:00,18:00:00,0.0,0.0
169,Physical Attack,2013,10/11/2013,10/11/2013,MISO - Entergy,Arkansas,SERC,"vandalism, physical",14:30:00,18:30:00,,
170,Physical Attack,2013,10/6/2013,10/6/2013,MISO - AECC,Arkansas,SPP,"vandalism, physical",07:25:00,09:15:00,9200.0,
171,Sabotage,2013,9/29/2013,9/29/2013,Entergy Systems Incorporated,Arkansas,SERC,"vandalism, physical",00:00:00,01:00:00,,
172,Severe Weather,2013,9/11/2013,9/15/2013,Detroit Edison Co,Michigan,RFC,"severe weather, thunderstorm",16:00:00,16:00:00,75000.0,400.0
173,Firm Load,2013,9/10/2013,9/11/2013,PJM Interconnection,Pennsylvania,RFC,load shedding,17:42:00,00:02:00,,105.0
174,Severe Weather,2013,8/30/2013,8/31/2013,Exelon Corporation/ComEd,Illinois,RFC,"severe weather, thunderstorm",19:30:00,01:30:00,157000.0,
175,Severe Weather,2013,8/29/2013,8/29/2013,Xcel Energy,Wisconsin,MRO,"islanding, severe weather",14:57:00,15:29:00,7000.0,15.0
176,Vandalism,2013,8/29/2013,8/29/2013,Empire District Electric Co,Missouri,SPP,"vandalism, physical",09:50:00,09:50:00,,
177,Vandalism,2013,8/28/2013,8/28/2013,PacifiCorp,Wyoming,WECC,"vandalism, physical",09:30:00,09:31:00,,
178,Vandalism,2013,8/26/2013,8/26/2013,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",20:15:00,20:16:00,,
179,Vandalism,2013,8/23/2013,8/23/2013,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",07:30:00,07:31:00,,
180,Vandalism,2013,8/22/2013,8/22/2013,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",12:55:00,14:45:00,,
181,Sabotage,2013,8/22/2013,8/22/2013,Constellation Energy Control & Dispatch - for Gila River,Arizona,WECC,"vandalism, physical",08:40:00,11:49:00,,
182,Sabotage,2013,8/21/2013,8/21/2013,Entergy Arkansas Inc,Arkansas,SERC,"vandalism, physical",14:00:00,14:01:00,,
183,Severe Weather,2013,8/19/2013,8/20/2013,Southern California Edison Co,California,WECC,"severe weather, thunderstorm",19:06:00,06:02:00,124000.0,685.0
184,Severe Weather,2013,8/16/2013,8/17/2013,CenterPoint Energy,Texas,TRE,"severe weather, thunderstorm",16:58:00,23:58:00,219681.0,
185,Suspicious Activity,2013,8/12/2013,8/12/2013,PacifiCorp,Oregon,WECC,vandalism,11:55:00,11:59:00,,
186,Severe Weather,2013,8/7/2013,8/7/2013,We Energies,Wisconsin,MRO,"severe weather, thunderstorm",00:15:00,21:27:00,51160.0,220.0
187,Vandalism,2013,8/7/2013,8/8/2013,"Caithness Shepherds Flat, LLC",Oregon,WECC,"vandalism, physical",14:30:00,13:00:00,,
188,Fuel Supply,2013,8/7/2013,8/7/2013,Wisconsin Public Service Corp,Wisconsin,MRO,"fuel supply emergency, natural gas",07:30:00,09:14:00,,
189,Vandalism,2013,8/6/2013,8/6/2013,El Paso Electric,New Mexico,WECC,"vandalism, physical",16:00:00,17:32:00,,
190,Severe Weather,2013,8/5/2013,8/5/2013,WECC RC Vancouver,Canada,WECC,"islanding, severe weather",18:35:00,18:45:00,,
191,Physical Attack,2013,8/4/2013,8/4/2013,Pacificorp,Utah,WECC,"vandalism, physical",03:00:00,04:00:00,,
192,Electrical System Separation,2013,8/1/2013,8/1/2013,WECC RC Vancouver,Canada,WECC,islanding,18:54:00,19:37:00,,420.0
